Title,Duration
"""Masha e o Urso: Temporada 2: E",0 days 01:42:35
"""Masha e o Urso: Temporada 4: Nada de trabalho",0 days 00:19:40
"""MÃ£e SÃ³ Tem Duas: Temporada 1: Uni",0 days 00:36:29
"""Narcos: Temporada 2: Os bons",0 days 00:54:24
"""Naruto Shippuden: Temporada 1: Corra",0 days 00:07:16
"""Naruto Shippuden: Temporada 4: Quando se amaldiÃ§oa alguÃ©m",0 days 00:17:34
"""Naruto: Temporada 3: Atrasado para o show",0 days 00:19:42
"""Naruto: Temporada 3: Folha danÃ§ante",0 days 00:19:41
"""Naruto: Temporada 3: O terceiro Hokage",0 days 00:19:43
"""Naruto: Temporada 3: Um sentimento de anseio",0 days 00:19:34
"""Naruto: Temporada 4: Corra",0 days 00:19:50
"""Naruto: Temporada 4: Ruja",0 days 00:19:42
"""Naruto: Temporada 5: ForÃ§a total! Chouji",0 days 00:18:34
"""Naruto: Temporada 5: Pai e filho",0 days 00:13:37
"""Naruto: Temporada 7: Corra",0 days 00:19:45
"""Naruto: Temporada 7: Por favor",0 days 00:19:45
"""Ninjago: Mestres do Spinjitzu: A AscensÃ£o das Cobras: Uma vez mordido",0 days 00:38:25
"""Ninjago: Mestres do Spinjitzu: O Legado do Ninja Verde: No lugar errado",0 days 00:23:07
"""No Game",0 days 00:41:46
"""O Chefinho - De Volta aos NegÃ³cios: Temporada 2: Seja Bonzinho",0 days 00:23:12
"""O Chefinho - De Volta aos NegÃ³cios: Temporada 2: Toca de novo",0 days 00:23:54
"""O Chefinho - De Volta aos NegÃ³cios: Temporada 3: Luz",0 days 00:22:27
"""O Mundo Colorido do Charlie: O Mundo Colorido: Charlie",0 days 00:23:22
"""Oddbods: Temporada 2: Slicknado / No Go",0 days 00:21:36
"""Oddbods: Temporada 2: Your Move",0 days 00:02:01
"""Os Inocentes: Temporada 1: Calma",0 days 00:05:14
"""PJ Masks â€“ HerÃ³is de Pijama: Temporada 1: Fale",0 days 00:02:01
"""PJ Masks â€“ HerÃ³is de Pijama: Temporada 1: O Menino Gato e a brigada das borboletas / Corujita",0 days 00:22:23
"""PJ Masks â€“ HerÃ³is de Pijama: Temporada 1: Ã‰ tudo culpa do trem",0 days 00:23:03
"""Pablo Escobar",0 days 00:06:23
"""Parasyte: The Maxim: Temporada 1: Bom dia",0 days 00:20:09
"""Peaky Blinders: Sangue",0 days 16:23:29
"""Peppa Pig: Temporada 1: Sapos",0 days 00:37:10
"""Peppa Pig: Temporada 2: Zoe Zebra",0 days 00:18:23
"""Peppa Pig: Temporada 5: Pedro",0 days 00:04:54
"""Pocoyo: Temporada 1: 13. Chave para tudo 14. DÃ¡-lhe",0 days 02:17:38
"""Pocoyo: Temporada 1: 21. Regador mÃ¡gico 22. Um restaurante divertido 23. Brilha",0 days 01:49:36
"""Pocoyo: Temporada 1: 33. Vamos acampar 34. Pocoyo",0 days 01:19:36
"""Pocoyo: Temporada 1: 5. Pega",0 days 03:05:54
"""Pocoyo: Temporada 2: 37.  Deixa eu danÃ§ar! 38. Sai Daqui",0 days 00:24:27
"""Pocoyo: Temporada 2: 45. Poczilla 46. Elly no Gelo 47. Adeus",0 days 00:24:14
"""PokÃ©mon",0 days 00:38:56
"""PokÃ©mon - A SÃ©rie: Liga Ãndigo: Temporada 1: PokÃ©mon",0 days 00:21:52
"""Ponto Cego: Temporada 1: Se amar um rebelde",0 days 00:42:39
"""Ponto Cego: Temporada 2: Nem eu",0 days 01:23:42
"""Ponto Cego: Temporada 2: Por CÃ©sar",0 days 01:25:05
"""Ponto Cego: Temporada 3: Luz",0 days 00:43:50
"""Ponto Cego: Temporada 4: Grito",0 days 01:04:26
"""Ponto Cego: Temporada 4: O Sol",0 days 00:42:19
"""Ponto Cego: Temporada 4: Ã‰ loucura",0 days 00:03:01
"""Power Rangers Ninja Steel: Temporada 1: Passado",0 days 00:03:32
"""Quem Matou Sara?: Temporada 1: Beijos",0 days 00:31:45
"""Ragnarok: Temporada 1: Sim",0 days 00:00:07
"""Ridley Jones: A GuardiÃ£ do Museu: Temporada 1: Pronta ou nÃ£o",0 days 00:13:46
"""Riverdale: Temporada 1: CapÃ­tulo seis: Vamos lÃ¡",0 days 00:42:06
"""Riverdale: Temporada 2: CapÃ­tulo vinte e dois: Noite silenciosa",0 days 01:23:07
"""Riverdale: Temporada 3: CapÃ­tulo trinta e oito: Tanto em cima",0 days 00:33:31
"""Round 6: Temporada 1: Batatinha frita 1",0 days 02:22:09
"""Saiki Kusuo no Psi-nan: Reativado: Temporada 1: TrÃªs homens",0 days 00:20:47
"""Salvation: Temporada 1: Filho de peixe",0 days 01:19:40
"""Salvation: Temporada 2: O que tiver que ser",0 days 00:28:37
"""Santa Clarita Diet: Temporada 1: Baka",0 days 00:27:31
"""Scream: Temporada 1: Oi",0 days 00:38:24
"""Shaun",0 days 00:46:19
"""Sonic Boom: Temporada 1: Knuckles",0 days 00:21:32
"""Sonic Boom: Temporada 2: Eu",0 days 00:10:38
"""Sonic Boom: Temporada 2: Sozinho",0 days 00:10:43
"""Sonic Boom: Temporada 2: Tudo o que vocÃª faz",0 days 00:10:43
"""Sonic X: Temporada 1: IncursÃ£o do Egg Forte",0 days 00:11:04
"""Sonic X: Temporada 1: O fantasma do velho castelo",0 days 00:20:12
"""Sonic X: Temporada 2: A batalha da colÃ´nia espacial",0 days 00:10:12
"""Sonic X: Temporada 2: Amy",0 days 00:21:10
"""Sonic X: Temporada 2: Desejo de Maria",0 days 00:19:20
"""Sonic X: Temporada 2: Gama",0 days 00:19:30
"""Super Monstros em AÃ§Ã£o: Temporada 1: Glorb",0 days 00:42:38
"""Super Monstros em AÃ§Ã£o: Temporada 1: Saindo uma pizza! / Alarme falso",0 days 00:32:06
"""Super Monstros em AÃ§Ã£o: Temporada 2: Cleo sabe tudo / Spike",0 days 01:10:03
"""Super Monstros em AÃ§Ã£o: Temporada 2: Sem Lua",0 days 00:22:03
"""Tal Pai",0 days 01:43:35
"""The Good Wife: Good Wife",0 days 13:58:25
"""The Good Wife: Temporada 4: Batalha Dos Procuradores",0 days 00:43:22
"""The Good Wife: Temporada 4: Duas Garotas",0 days 00:43:23
"""The Good Wife: Temporada 4: Estupro",0 days 00:43:17
"""The Good Wife: Temporada 4: Sem Trote",0 days 00:47:54
"""The Good Wife: Temporada 4: Time Vermelho",0 days 00:44:48
"""The Good Wife: Temporada 7: Boa noite",0 days 00:44:58
"""The Good Wife: The Good Wife: Season 5: Teatro",0 days 00:39:14
"""The Seven Deadly Sins: O Julgamento do DragÃ£o: Adeus",0 days 00:21:01
"""The Seven Deadly Sins: O Julgamento do DragÃ£o: EsperanÃ§a",0 days 00:20:04
"""The Seven Deadly Sins: RessurreiÃ§Ã£o dos Dez Mandamentos: Adeus",0 days 00:21:40
"""The Tudors: Temporada 1: Sua Majestade",0 days 00:13:51
"""The Tudors: Temporada 1: Wolsey",0 days 00:50:40
"""The Walking Dead: Temporada 1: Adeus",0 days 00:55:37
"""The Witcher: Temporada 1: Banquetes",0 days 01:59:16
"""Vai",0 days 02:52:56
"""Vis a vis: Temporada 2: Lar",0 days 00:51:39
"""VocÃª: Temporada 1: Eu sou seu",0 days 00:44:29
"""VocÃª: Temporada 2: Adeus",0 days 00:44:27
"""VocÃª: Temporada 2: Bom final de semana de bem-estar",0 days 00:48:34
"""VocÃª: Temporada 2: O bom",0 days 00:48:56
"""Wanted: Temporada 1: Corra",0 days 00:43:24
#Alive,0 days 01:33:12
(Trailer) Bajocero,0 days 00:00:10
10 Anos de Pura Amizade,0 days 00:04:44
12 Anos de EscravidÃ£o,0 days 00:03:27
13 Reasons Why: Temporada 2: A garotinha (EpisÃ³dio 8),0 days 00:53:54
13 Reasons Why: Temporada 2: A mÃ¡quina de giz (EpisÃ³dio 5),0 days 00:53:44
13 Reasons Why: Temporada 2: A primeira foto Polaroid (EpisÃ³dio 1),0 days 01:09:22
13 Reasons Why: Temporada 2: A segunda Polaroid (EpisÃ³dio 4),0 days 00:53:32
13 Reasons Why: Temporada 2: Adeus (EpisÃ³dio 13),0 days 00:43:09
13 Reasons Why: Temporada 2: Bryce e Chloe (EpisÃ³dio 11),0 days 00:54:31
13 Reasons Why: Temporada 2: Duas garotas se beijam (EpisÃ³dio 2),0 days 00:56:50
13 Reasons Why: Temporada 2: O sorriso nas docas (EpisÃ³dio 6),0 days 00:44:37
